web-scraper-order,web-scraper-start-url,nama-resto,nama-resto-href,nama-makanan,harga-makanan,detail-makanan
"1520910325-1870","https://www.pumasera.com/content/restaurant","Santap Malam Awong Pecenongan","https://www.pumasera.com/content/restaurant/detail/santap-malam-awong-pecenongan","Ikan Gurame Tahu Kuah","Rp. 95,000",""
"1520910387-2027","https://www.pumasera.com/content/restaurant","Sandwich Bakar Pesanggrahan","https://www.pumasera.com/content/restaurant/detail/sandwich-bakar-pesanggrahan","Friench Fries","Rp. 13,750",""
"1520909303-1031","https://www.pumasera.com/content/restaurant","Warung Tekko","https://www.pumasera.com/content/restaurant/detail/warung-tekko","Jeruk Murni","Rp. 18,700",""
"1520910451-2081","https://www.pumasera.com/content/restaurant","Restoran Tio Ciu Mangga Besar","https://www.pumasera.com/content/restaurant/detail/restoran-tio-ciu-mangga-besar","Bakso Udang Kuah","Rp. 88,000","Reguler"
"1520909658-1473","https://www.pumasera.com/content/restaurant","Teo Chew Palace","https://www.pumasera.com/content/restaurant/detail/teo-chew-palace","Hot Pot Samcan Sapi Cabe Kering (S)","Rp. 147,840",""
"1520910451-2078","https://www.pumasera.com/content/restaurant","Restoran Tio Ciu Mangga Besar","https://www.pumasera.com/content/restaurant/detail/restoran-tio-ciu-mangga-besar","Bakso Ikan Kuah","Rp. 107,800","Large"
"1520910637-2806","https://www.pumasera.com/content/restaurant","Restoran Padang Sederhana Kebon Jeruk","https://www.pumasera.com/content/restaurant/detail/restoran-padang-sederhana-kebon-jeruk","Mie Jawa","Rp. 14,300","Per Porsi+Pondok"
"1520910823-3236","https://www.pumasera.com/content/restaurant","Raja Konro Daeng Naba","https://www.pumasera.com/content/restaurant/detail/raja-konro-daeng-naba","Nasi Goreng Merah Ikan Asin","Rp. 31,900",""
"1520910387-1958","https://www.pumasera.com/content/restaurant","Sandwich Bakar Pesanggrahan","https://www.pumasera.com/content/restaurant/detail/sandwich-bakar-pesanggrahan","Tuna Crispy","Rp. 25,300",""
"1520910082-1710","https://www.pumasera.com/content/restaurant","Sop Buntut Ibu Samino","https://www.pumasera.com/content/restaurant/detail/sop-buntut-ibu-samino","Es Liang Teh","Rp. 9,000",""
"1520909321-1142","https://www.pumasera.com/content/restaurant","Warung Leko","https://www.pumasera.com/content/restaurant/detail/warung-leko","Thai Ice Tea With G. Jelly","Rp. 24,200",""
"1520909535-1333","https://www.pumasera.com/content/restaurant","Tinoor Makmur","https://www.pumasera.com/content/restaurant/detail/tinoor-makmur","Apang Bakar (pre order)","Rp. 5,000","Per Pcs (Min 10)"
"1520910700-2999","https://www.pumasera.com/content/restaurant","Resto Mandala","https://www.pumasera.com/content/restaurant/detail/resto-mandala","Sapi tahu kecap","Rp. 96,000",""
"1520911190-3666","https://www.pumasera.com/content/restaurant","Pang Garden","https://www.pumasera.com/content/restaurant/detail/pang-garden","Nasi + Ayam Tahu Tausi","Rp. 21,000","Bonus: Capcay+Teh/Es Teh/Aqua Gelas"
"1520910575-2624","https://www.pumasera.com/content/restaurant","Restoran Padang Sederhana Satrio","https://www.pumasera.com/content/restaurant/detail/restoran-padang-sederhana-satrio","Nasi+Rendang","Rp. 25,300",""
"1520909348-1165","https://www.pumasera.com/content/restaurant","Warung Bejo","https://www.pumasera.com/content/restaurant/detail/warung-bejo","PAKET 2","Rp. 19,000","(NASI , AYAM , LALAP , SAMBAL )"
"1520909535-1323","https://www.pumasera.com/content/restaurant","Tinoor Makmur","https://www.pumasera.com/content/restaurant/detail/tinoor-makmur","Sayur Rica Rodo","Rp. 20,000","Porsi Kecil"
