web-scraper-order,web-scraper-start-url,nama,harga,detail
"1520907528-434","https://www.pumasera.com/content/restaurant/detail/bakmi-naga","Bihun Pangsit Kuah","Rp. 36,000",""
"1520907528-591","https://www.pumasera.com/content/restaurant/detail/bakmi-naga","Salad Sayur","Rp. 25,000",""
"1520907528-507","https://www.pumasera.com/content/restaurant/detail/bakmi-naga","Ayam Cah Jamur","Rp. 40,000",""
"1520907528-443","https://www.pumasera.com/content/restaurant/detail/bakmi-naga","Bihun Masak Seafood","Rp. 46,000",""
"1520907528-588","https://www.pumasera.com/content/restaurant/detail/bakmi-naga","Kailan Cah Polos","Rp. 26,000",""
"1520907528-504","https://www.pumasera.com/content/restaurant/detail/bakmi-naga","Steak Ayam","Rp. 52,000",""
"1520907528-461","https://www.pumasera.com/content/restaurant/detail/bakmi-naga","Kwetiau Sapi Lada hItam","Rp. 50,000",""
"1520907528-611","https://www.pumasera.com/content/restaurant/detail/bakmi-naga","Sop Ayam Jamur (L)","Rp. 50,000",""
"1520907528-445","https://www.pumasera.com/content/restaurant/detail/bakmi-naga","Kwetiau Urat Sapi","Rp. 37,000",""
"1520907528-396","https://www.pumasera.com/content/restaurant/detail/bakmi-naga","Bakmi Ayam Saos Tomat","Rp. 40,000",""
"1520907528-441","https://www.pumasera.com/content/restaurant/detail/bakmi-naga","Bihun Goreng Spesial","Rp. 43,000",""
"1520907528-438","https://www.pumasera.com/content/restaurant/detail/bakmi-naga","Bihun Urat Sapi","Rp. 37,000",""
"1520907528-656","https://www.pumasera.com/content/restaurant/detail/bakmi-naga","Jus Spesial","Rp. 26,000",""
"1520907528-371","https://www.pumasera.com/content/restaurant/detail/bakmi-naga","Bakmi Ayam","Rp. 28,000",""
"1520907528-545","https://www.pumasera.com/content/restaurant/detail/bakmi-naga","Cumi Goreng Tepung","Rp. 55,000",""
"1520907528-538","https://www.pumasera.com/content/restaurant/detail/bakmi-naga","Steak Ikan Kakap","Rp. 55,000",""
"1520907528-478","https://www.pumasera.com/content/restaurant/detail/bakmi-naga","Topping Ayam Kampung","Rp. 7,000",""
"1520907528-474","https://www.pumasera.com/content/restaurant/detail/bakmi-naga","Siomay Ayam (1 pcs)","Rp. 6,000",""
"1520907528-375","https://www.pumasera.com/content/restaurant/detail/bakmi-naga","Bakmi Bakso Sapi","Rp. 36,000",""
"1520907528-420","https://www.pumasera.com/content/restaurant/detail/bakmi-naga","Bakso Campur","Rp. 25,000",""
"1520907528-492","https://www.pumasera.com/content/restaurant/detail/bakmi-naga","Nasi Ayam Goreng Tepung","Rp. 35,000",""
"1520907528-506","https://www.pumasera.com/content/restaurant/detail/bakmi-naga","Ayam Cah Caisim","Rp. 40,000",""
"1520907528-621","https://www.pumasera.com/content/restaurant/detail/bakmi-naga","Rosella Tea","Rp. 15,000",""
"1520907528-412","https://www.pumasera.com/content/restaurant/detail/bakmi-naga","Pangsit Kuah (2 pcs)","Rp. 10,000",""
"1520907528-648","https://www.pumasera.com/content/restaurant/detail/bakmi-naga","Sprite","Rp. 12,000",""
"1520907528-650","https://www.pumasera.com/content/restaurant/detail/bakmi-naga","Jus Jambu","Rp. 22,000",""
"1520907528-518","https://www.pumasera.com/content/restaurant/detail/bakmi-naga","Ayam Mayonaise","Rp. 52,000",""
"1520907528-556","https://www.pumasera.com/content/restaurant/detail/bakmi-naga","Nasi Goreng Rajungan","Rp. 40,000",""
"1520907528-516","https://www.pumasera.com/content/restaurant/detail/bakmi-naga","Kulit Ayam Goreng Kering","Rp. 34,000",""
"1520907528-586","https://www.pumasera.com/content/restaurant/detail/bakmi-naga","Brokoli Cah Sapi","Rp. 50,000",""
"1520907528-616","https://www.pumasera.com/content/restaurant/detail/bakmi-naga","Es Teh","Rp. 6,000",""
"1520907528-418","https://www.pumasera.com/content/restaurant/detail/bakmi-naga","Ikan Kakap Asam Manis","Rp. 54,000",""
"1520907528-658","https://www.pumasera.com/content/restaurant/detail/bakmi-naga","Jus Wortel","Rp. 22,000",""
